IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Standard,Standard to UTC,Daylight_20150308_0200,Daylight to UTC
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313,MST,UTC-7,MDT,UTC -6
CNY,Canyonlands Field,Moab,UT,USA,38.75496,-109.75484,MST,UTC-7,MDT,UTC -6
COD,Yellowstone Regional Airport,Cody,WY,USA,44.52019,-109.0238,MST,UTC-7,MDT,UTC -6
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.80581,-104.70025,MST,UTC-7,MDT,UTC -6
CPR,Natrona County International Airport,Casper,WY,USA,42.90836,-106.46447,MST,UTC-7,MDT,UTC -6
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772,MST,UTC-7,MDT,UTC -6
DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667,MST,UTC-7,MDT,UTC -6
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA,46.79739,-102.80195,MST,UTC-7,MDT,UTC -6
DRO,Durango-La Plata County Airport,Durango,CO,USA,37.15152,-107.75377,MST,UTC-7,MDT,UTC -6
DVL,Devils Lake Regional Airport,Devils Lake,ND,USA,48.11425,-98.90878,MST,UTC-7,MDT,UTC -6
EGE,Eagle County Regional Airport,Eagle,CO,USA,39.64257,-106.9177,MST,UTC-7,MDT,UTC -6
EKO,Elko Regional Airport,Elko,NV,USA,40.82493,-115.7917,MST,UTC-7,MDT,UTC -6
EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,USA,35.07297,-77.04294,MST,UTC-7,MDT,UTC -6
FAR,Hector International Airport,Fargo,ND,USA,46.91935,-96.81499,MST,UTC-7,MDT,UTC -6
FAY,Fayetteville Regional Airport,Fayetteville,NC,USA,34.99147,-78.88,MST,UTC-7,MDT,UTC -6
FCA,Glacier Park International Airport,Kalispell,MT,USA,48.3114,-114.25507,MST,UTC-7,MDT,UTC -6
GCC,Gillette-Campbell County Airport,Gillette,WY,USA,44.3489,-105.53936,MST,UTC-7,MDT,UTC -6
GFK,Grand Forks International Airport,Grand Forks,ND,USA,47.94926,-97.17611,MST,UTC-7,MDT,UTC -6
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,USA,39.12241,-108.52673,MST,UTC-7,MDT,UTC -6
GRI,Central Nebraska Regional Airport,Grand Island,NE,USA,40.96747,-98.30861,MST,UTC-7,MDT,UTC -6
GSO,Piedmont Triad International Airport,Greensboro,NC,USA,36.09775,-79.9373,MST,UTC-7,MDT,UTC -6
GTF,Great Falls International Airport,Great Falls,MT,USA,47.482,-111.37069,MST,UTC-7,MDT,UTC -6
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,USA,38.53396,-106.93318,MST,UTC-7,MDT,UTC -6
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,USA,40.48118,-107.21766,MST,UTC-7,MDT,UTC -6
HLN,Helena Regional Airport,Helena,MT,USA,46.60682,-111.98275,MST,UTC-7,MDT,UTC -6
HOB,Lea County Regional Airport,Hobbs,NM,USA,32.68753,-103.21703,MST,UTC-7,MDT,UTC -6
IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581,MST,UTC-7,MDT,UTC -6
ILM,Wilmington International Airport,Wilmington,NC,USA,34.27061,-77.90256,MST,UTC-7,MDT,UTC -6
ISN,Sloulin Field International Airport,Williston,ND,USA,48.17794,-103.64235,MST,UTC-7,MDT,UTC -6
JAC,Jackson Hole Airport,Jackson,WY,USA,43.60732,-110.73774,MST,UTC-7,MDT,UTC -6
JMS,Jamestown Regional Airport,Jamestown,ND,USA,46.92972,-98.6782,MST,UTC-7,MDT,UTC -6
LAR,Laramie Regional Airport,Laramie,WY,USA,41.31205,-105.67499,MST,UTC-7,MDT,UTC -6
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,MST,UTC-7,MDT,UTC -6
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,USA,40.85097,-96.75925,MST,UTC-7,MDT,UTC -6
MOT,Minot International Airport,Minot,ND,USA,48.25938,-101.28033,MST,UTC-7,MDT,UTC -6
MSO,Missoula International Airport,Missoula,MT,USA,46.91631,-114.09056,MST,UTC-7,MDT,UTC -6
MTJ,Montrose Regional Airport,Montrose,CO,USA,38.50887,-107.89383,MST,UTC-7,MDT,UTC -6
OAJ,Albert J. Ellis Airport,Jacksonville,NC,USA,34.82916,-77.61214,MST,UTC-7,MDT,UTC -6
OMA,Eppley Airfield,Omaha,NE,USA,41.30252,-95.89417,MST,UTC-7,MDT,UTC -6
ORF,Norfolk International Airport,Norfolk,VA,USA,36.89461,-76.20122,MST,UTC-7,MDT,UTC -6
